"accession","length","submission_date","host","country_original","collection_date","Month","year","SeqLength","Codons","BadCodons","CodonPairs","Stops","CpC","Y.Bias","X.Bias","ApG","GpA","GTG.Bias","ACT.Bias","T.Bias","brApG","brCpU","F.Bias","V.Bias","CCA.Bias","ATT.Bias","CTT.Bias","S.Bias","brGpC","GpC","N.Bias","W.Bias","brGpA","NonBrGpC","ApA","NonBrCpA","CTA.Bias","CTG.Bias","NonBrGpG","G.Bias","GCA.Bias","AGC.Bias","NonBrCpG","ATA.Bias","CpG","C.Bias","NonBrUpC","K.Bias","GGA.Bias","brApU","P.Bias","E.Bias","Q.Bias","M.Bias","NonBrUpU","CGA.Bias","NonBrUpA","AGT.Bias","UpC","ApU","brGpU","L.Bias"
"KM034549",18835,"15/12/2014","Homo sapiens","Sierra Leone","25/05/2014",5,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.020208565,1.118252181,0.203947368,0.262529833,0.076154126,1.142831136,0.793850409,0.04525627,0.055252635,0.394039735,0.465838509,0.2,0.075790622,0.758161018,0.898788246,0.046710287,0.013631407,0.925999336,0.94170334,1.019690224,1.294181663,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.556718407,0.217391304,0.604227392,0.016357688,0.990222098,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.322801157,0.179930796,0.57392322,0.237410072,1.06738127,0.969873119,0.572368633,0.10087241
"KM034550",18911,"15/12/2014","Homo sapiens","Sierra Leone","25/05/2014",5,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.020208565,1.118252181,0.203947368,0.262529833,0.076154126,1.142831136,0.793850409,0.04525627,0.055252635,0.394039735,0.465838509,0.2,0.075790622,0.758161018,0.898788246,0.046710287,0.013631407,0.925999336,0.94170334,1.019690224,1.294181663,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.556718407,0.217391304,0.604227392,0.016357688,0.990222098,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.322801157,0.179930796,0.57392322,0.237410072,1.06738127,0.969873119,0.572368633,0.10087241
"KM034551",18926,"15/12/2014","Homo sapiens","Sierra Leone","26/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.020410987,1.117548933,0.203947368,0.262529833,0.076154126,1.143178607,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.757842597,0.898545658,0.046710287,0.013631407,0.923729142,0.941449169,1.020094904,1.292763158,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.554681474,0.217391304,0.60280584,0.01653944,0.991538759,0.051981098,0.383386581,0.81462863,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.574037094,0.237410072,1.068149705,0.970065554,0.575479333,0.10087241
"KM034552",18769,"15/12/2014","Homo sapiens","Sierra Leone","26/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM034553",18927,"15/12/2014","Homo sapiens","Sierra Leone","27/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019283625,1.118252181,0.204620462,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055070883,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89728719,0.046710287,0.013631407,0.923801239,0.941449169,1.020340123,1.292506708,0.144144144,0.171171171,1.065687191,0.057070156,0.356083086,0.12470024,0.554681474,0.217391304,0.60280584,0.01653944,0.991773832,0.051981098,0.385350318,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.322036831,0.180555556,0.572894865,0.237410072,1.068402941,0.970103056,0.575699233,0.10087241
"KM034554",18948,"15/12/2014","Homo sapiens","Sierra Leone","27/05/2014",5,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.020208565,1.118252181,0.203947368,0.262529833,0.076154126,1.142831136,0.793850409,0.04525627,0.055252635,0.394039735,0.465838509,0.2,0.075790622,0.758161018,0.898788246,0.046710287,0.013631407,0.925999336,0.94170334,1.019690224,1.294181663,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.556718407,0.217391304,0.604227392,0.016357688,0.990222098,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.322801157,0.179930796,0.57392322,0.237410072,1.06738127,0.969873119,0.572368633,0.10087241
"KM034555",18950,"15/12/2014","Homo sapiens","Sierra Leone","06/06/2014",6,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.020208565,1.118252181,0.203947368,0.262529833,0.076154126,1.142831136,0.793850409,0.04525627,0.055252635,0.394039735,0.465838509,0.2,0.075790622,0.758161018,0.898788246,0.046710287,0.013631407,0.925999336,0.94170334,1.019690224,1.294181663,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.556718407,0.217391304,0.604227392,0.016357688,0.990222098,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.322801157,0.179930796,0.57392322,0.237410072,1.06738127,0.969873119,0.572368633,0.10087241
"KM034556",18932,"15/12/2014","Homo sapiens","Sierra Leone","26/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM034557",18956,"15/12/2014","Homo sapiens","Sierra Leone","27/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM034558",18915,"15/12/2014","Homo sapiens","Sierra Leone","28/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.020410987,1.117548933,0.203947368,0.262529833,0.076154126,1.143178607,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.757842597,0.898545658,0.046710287,0.013631407,0.923729142,0.941449169,1.020094904,1.292763158,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.554681474,0.217391304,0.60280584,0.01653944,0.991538759,0.051981098,0.383386581,0.81462863,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.574037094,0.237410072,1.068149705,0.970065554,0.575479333,0.10087241
